Village_Name,Hospital_Count,Pond_Count
Adhikari,0,1
Adro,0,2
Agaiyasarmundi,1,0
Agarkund Part,0,3
Agloi,0,39
Agru,0,2
Aguthia,0,18
Ahardih,0,2
Ahilyapur,0,0
Aikuti,0,1
Ajodhya,0,1
Ajodhya Kolhua,0,1
Akuri,0,1
Alagdiha,0,0
Algori,0,0
Ali Bag,0,1
Amaghata,0,0
Amanat Diara,0,4
Amanat Sarkar,0,12
Amarpur,2,0
Amboatoli,1,0
Amdari,0,1
Amjharia,0,1
Amjora,1,0
Amliya Kalyanpur,0,1
Amrapara Bazar,1,0
Andharkola,0,0
Andharkotha,0,19
Anguthia,0,1
Anigara,1,0
Anitikar,0,19
Ankura R F,1,0
Ankuwa,0,0
Appo,0,1
Ara CT,2,0
Ara North,0,0
Arahasa,0,1
Arazimakimpur,0,0
Ardhe,0,1
Areya,0,0
Argori,0,11
Arjunpur,0,3
Arko,0,0
Arkosa,0,1
Arsande CT,7,0
Asanbani,1,1
Asansol,1,0
Asantaliya,0,0
Asnadanga,0,0
Asurbandh,0,0
Atapur,0,2
Atgawan,0,1
Atka,0,2
Autgram,0,32
Babhandih,0,0
Babupur,1,28
Bada Ambana,1,0
Badahitanr Alias Kanagarha,2,0
Badaki Suriya,1,0
Badiya,0,3
Badla,0,0
Bagbera CT,2,0
Baghi,0,2
Baghmara,0,2
Bagnal,1,0
Bagru,0,3
Bagrudih,0,1
Baharagora,1,0
Bairiya,0,1
Bakhartali,1,0
Bakudih,0,1
Balabahiar,1,0
Balandia,0,1
Balgo,0,0
Balia,1,0
Baljori,0,0
Balkudra,0,1
Balu,0,0
Balumath,0,0
Bamhnichaura,1,0
Bana,0,2
Banahamtu,0,0
Banalat,0,0
Banari,0,0
Bandgaon,0,1
Bandh Dih CT,0,3
Bandhkharo,2,1
Bandih,1,0
Bando,0,0
Bandua,0,3
Bandugara,0,0
Banjari,0,1
Banjpur,1,0
Bankikala,0,0
Banmalipur,0,1
Bansbhita,0,4
Bansjor,1,0
Bansjori,0,2
Banskandri,0,0
Banutikar,0,1
Bara,1,0
Bara Asila,0,22
Bara Beyasi,0,1
Bara Bhorai,0,2
Bara Gargama,0,10
Bara Harchandpur,0,1
Bara Kalhajor,0,1
Bara Mahgama,0,8
Bara Narganj,1,0
Bara Rakso,0,11
Bara Ranga,0,3
Bara Sinddri,0,2
Bara Sonakar,0,13
Bara Talbana,0,5
Bara Tetariya,0,1
Bara Torlo,0,1
Barabandh,1,11
Barachatnia,0,1
Baradih,0,3
Baragamharia,0,1
Baragarhi,0,8
Barajamda CT,0,1
Barajamua,1,0
Barakhairapara,0,0
Baralagra,0,0
Baralota CT,1,1
Baramasia,2,8
Baramesya,1,0
Baranga,0,1
Bargarwa CT,0,0
Barharwa,0,43
Barhauna,0,0
Barhu,0,1
Bari,0,3
Baribandh,0,1
Bario,1,0
Barjori,0,1
Barkakatra,0,3
Barkat,0,0
Barkipona,0,1
Barkitanr,0,0
Barmariya,0,1
Barmasia,0,2
Barmasiya,0,5
Bartoli,0,1
Barudangua,0,0
Barughutu,1,2
Barwadih,0,1
Barwadih CT,0,0
Barwatoli,0,1
Basaria Kalan,0,0
Basdiha,0,1
Baskopahar,0,1
Baskupi,0,0
Basna,0,19
Bastadih,0,1
Basukinath,1,4
Bathania,0,5
Baua Kalan Part,1,0
Begamganj,0,4
Begampura,0,2
Begmabad,0,2
Beherabandh,0,1
Beko,0,1
Belangi,1,0
Beldarchak,2,1
Beldih,0,1
Beliadanga,0,1
Belri Alias Chinia,1,0
Belsiring,0,1
Bendi,0,1
Benidih,0,2
Beniyadangal,0,1
Berakenduda,0,3
Berhait Bazar,0,3
Berhait Santhali,2,7
Bermo CT,0,5
Bewa,0,1
Bhadauli,2,0
Bhadodih,0,4
Bhadwa,0,1
Bhagabandh,0,16
Bhaghmara,1,0
Bhagudih,0,0
Bhagwanpur,0,0
Bhairodhap,0,10
Bhaiyadih,0,0
Bhakso Harratoli,0,3
Bhalsumbhiya,1,0
Bhalu,0,1
Bhaluhi Alias Kariwadih,0,4
Bhandar,0,0
Bhandaria,0,1
Bhandra,0,0
Bhantboreya,0,1
Bharbharia,0,0
Bhargaon,0,0
Bhatdiha,2,1
Bhaunro,0,0
Bhawanichauki,0,0
Bhelwa,0,1
Bhimchabarkhori,0,3
Bhimpara,0,4
Bhitha,0,0
Bhognadih,0,1
Bhojpur,0,0
Bhonda,0,0
Bhurso,0,0
Bhusur,0,1
Bichpura,0,2
Bijaipur,0,1
Bijka,0,1
Bila,0,0
Bindapathar,1,0
Bindhantoli,1,0
Bindupara,0,37
Binodpur,0,44
Birampur,0,5
Birbandha,0,1
Birbandha Alias Birbandh,0,1
Birinda,1,0
Birjiatoli,0,0
Birnathpur,0,2
Birpur,0,2
Birra,0,2
Bishrampur,0,1
Bishunia,0,0
Bishunpur,1,9
Bishunpura,2,0
Bistupur,0,20
Bitpi,0,3
Bokaro CT,1,2
Bokaro Steel City CT,23,11
Bonga Sindri,0,0
Boramchati,0,0
Boreya,1,0
Borio CT,0,1
Borna,0,1
Borrio Santali,1,0
Brindaban,0,0
Budhbaria,0,1
Budhudih,0,1
Bundu,2,14
Bundubera,0,1
Burhai,1,1
Buti,1,0
Chaibasa,4,0
Chain Pur CT,0,0
Chainpur,0,0
Chaitadih,0,1
Chakbalrampur,1,2
Chakla,0,1
Chakme,0,1
Chakradharpur,3,4
Chakulia,1,7
Chalam,0,0
Chalangi,0,0
Chalkari,1,0
Chamdi,0,0
Chamgara,1,0
Chamratoli,0,1
Chamrom,0,1
Chamru,0,0
Chamru Kaprigangti,1,0
Chamudanga,0,2
Chanda,0,1
Chandaghasi,0,0
Chandankiari,2,0
Chandanpur,0,8
Chandarpura,1,0
Chandipos,0,1
Chandipur,0,12
Chandkopa,0,0
Chandna,0,1
Chandni,1,4
Chandpur,0,1
Chandrapura CT,0,8
Chandrarekha,0,1
Chanpi,0,0
Chapabar Chapawar,0,0
Chaperi,0,1
Chapgawan,1,1
Chapribathan,0,1
Chapujan,0,36
Charchari,0,1
Charghara,0,1
Charghara Chakmanjo,0,0
Charid,0,2
Charkapathar,1,0
Chas,11,11
Chatakpur,0,1
Chati Gobindpur,3,0
Chatra,0,1
Chatti,1,0
Chatti Satbarwa,0,0
Chatuang,0,0
Chaukidhab,0,1
Chaulchhola,0,8
Chechai,1,0
Chereapahari,0,0
Chetag,0,0
Chete,1,0
Chhata Lohanda,0,1
Chhatarbad,0,0
Chhatarmandu,2,0
Chhatarpur,1,0
Chhatatanr,0,0
Chhipadohar,0,1
Chhota Asila,0,3
Chhota Bhorai,0,1
Chhota Boarijor,1,0
Chhota Kartikdanga,0,1
Chhota Kendau,0,1
Chhota Mahgama,0,1
Chhota Pokharia,0,0
Chhota Ranga,0,2
Chhota Sindari,0,1
Chhota Sonakar,0,8
Chhotaharchandpur,0,29
Chhuchi,0,5
Chichahra,1,0
Chiharpahar,0,3
Chikaniya,0,0
Chino,0,1
Chipo,0,1
Chirkunda,2,1
Chitarkota,0,0
Chitarpur,0,0
Chitarpur CT,1,10
Chitka Alias Chirka,0,0
Chitnari,0,1
Chitra,0,0
Chiyanki,0,0
Choukunda,0,1
Chungru,0,0
Churku,0,0
Chutia,0,13
Dadidih,0,1
Dahuatand,0,0
Dakaita,1,1
Dalanchak,0,1
Daludih,1,0
Dama,0,0
Dambhuni,0,3
Daminkol,0,2
Dandai,2,0
Dandiadih,1,0
Dandiya,0,0
Danowara,0,1
Danre,0,11
Darea,0,1
Darha,0,0
Dari,0,0
Dariapur,0,4
Dasiodih,1,0
Deoghar,55,27
Dergama,0,2
Dewgain,0,1
Dhabadih,0,1
Dhadikbona,0,0
Dhamna,0,0
Dhamni,1,0
Dhanaidih,0,0
Dhanaisoso,0,1
Dhanbad,77,68
Dhaniyadih,0,0
Dhanjoripareya,1,0
Dhanjuri,0,1
Dhanotanr,0,1
Dhanwar Dakshin,2,0
