S.No.,District Code,District Name,Sub-District Code,Sub-District Name,Village Code,Village Version,Village Name ,Village Name,Village Category,Village Status,Census 2001 Code,Census 2011 Code,
,,(In English),,(In English),,,(In English),(In Local),,,,,
1,646,Balod,7253,Arjunda,931304,2,Arjunda,अर्जुन्दा,Urban,Inhabitant,,000000,
2,646,Balod,7253,Arjunda,442825,2,Arjuni Alias Tikri,अर्जुनी अलियास टिकरी,Rural,Inhabitant,01171700,442825,
3,646,Balod,7253,Arjunda,442779,2,Bagheli,बघेली,Rural,Inhabitant,01167000,442779,
4,646,Balod,7253,Arjunda,442780,2,Bamhani,बम्हनी,Rural,Inhabitant,01167100,442780,
5,646,Balod,7253,Arjunda,442784,2,Barbaspur,बरबसपुर,Rural,Inhabitant,01167500,442784,
6,646,Balod,7253,Arjunda,442851,2,Basin (Kutri),बासिन (कुटरी),Rural,Inhabitant,01174300,442851,
7,646,Balod,7253,Arjunda,442782,2,Bharda Kalan,भरदा कला,Rural,Inhabitant,01167300,442782,
8,646,Balod,7253,Arjunda,442852,2,Bhengari,भेंगारी,Rural,Inhabitant,01174400,442852,
9,646,Balod,7253,Arjunda,442794,2,Bhilai (Chicha),भिलाई (चिचा),Rural,Inhabitant,01168500,442794,
10,646,Balod,7253,Arjunda,442833,2,Borgahan,बोरगहन,Rural,Inhabitant,01172500,442833,
11,646,Balod,7253,Arjunda,442783,2,Budena,बुदेना,Rural,Inhabitant,01167400,442783,
12,646,Balod,7253,Arjunda,442786,2,Budhanpur,बुधानपुर,Rural,Inhabitant,01167700,442786,
13,646,Balod,7253,Arjunda,442838,2,Chandan Birhi,चन्दनबिरही,Rural,Inhabitant,01173000,442838,
14,646,Balod,7253,Arjunda,442844,2,Chaurel,चौरेल,Rural,Inhabitant,01173600,442844,
15,646,Balod,7253,Arjunda,442796,2,Chicha (Bhilai),चिचा (भिलाई),Rural,Inhabitant,01168700,442796,
16,646,Balod,7253,Arjunda,442828,2,Chichalgondi,चिचलगोडी,Rural,Inhabitant,01172000,442828,
17,646,Balod,7253,Arjunda,442781,2,Chirchar,चिरचार,Rural,Inhabitant,01167200,442781,
18,646,Balod,7253,Arjunda,442821,2,Deogahan,देवगहन,Rural,Inhabitant,01171200,442821,
19,646,Balod,7253,Arjunda,442773,2,Deori,देवरी,Rural,Inhabitant,01166400,442773,
20,646,Balod,7253,Arjunda,442776,2,Dewsara,देवसरा,Rural,Inhabitant,01166700,442776,
21,646,Balod,7253,Arjunda,442843,2,Dhangaon,धनगाँव,Rural,Inhabitant,01173500,442843,
22,646,Balod,7253,Arjunda,442790,2,Dudia,दुडिया,Rural,Inhabitant,01168100,442790,
23,646,Balod,7253,Arjunda,442850,2,Dundera,डूनडेरा,Rural,Inhabitant,01174200,442850,
24,646,Balod,7253,Arjunda,442792,2,Gabdi,गबदी,Rural,Inhabitant,01168300,442792,
25,646,Balod,7253,Arjunda,442795,2,Gorkapar (Tilkhairi),गोरकापार (तिलखैर),Rural,Inhabitant,01168600,442795,
26,646,Balod,7253,Arjunda,442775,2,Gudela,गुडेला,Rural,Inhabitant,01166600,442775,
27,646,Balod,7253,Arjunda,442785,2,Jewertala,जेवरतला,Rural,Inhabitant,01167600,442785,
28,646,Balod,7253,Arjunda,442831,2,Jhinka,झिनका,Rural,Inhabitant,01172300,442831,
29,646,Balod,7253,Arjunda,442854,2,Kamraud,कमरौद,Rural,Inhabitant,01174600,442854,
30,646,Balod,7253,Arjunda,442826,2,Kandul,कांदुल,Rural,Inhabitant,01171800,442826,
31,646,Balod,7253,Arjunda,442830,2,Khapri (Raini),खपरी (रैनी),Rural,Inhabitant,01172200,442830,
32,646,Balod,7253,Arjunda,442823,2,Kharbana,खरबाना,Rural,Inhabitant,01171400,442823,
33,646,Balod,7253,Arjunda,442840,2,Kherud,खेरुद,Rural,Inhabitant,01173200,442840,
34,646,Balod,7253,Arjunda,442774,2,Khursipar,खुर्सीपार,Rural,Inhabitant,01166500,442774,
35,646,Balod,7253,Arjunda,442793,2,Khursul (Gabdi),खुर्सुल (गब्दी),Rural,Inhabitant,01168400,442793,
36,646,Balod,7253,Arjunda,442777,2,Khursuni,खुरसुनी,Rural,Inhabitant,01166800,442777,
37,646,Balod,7253,Arjunda,442841,2,Khuteri,खुटेरी,Rural,Inhabitant,01173300,442841,
38,646,Balod,7253,Arjunda,442842,2,Kodewa,कोडेवा,Rural,Inhabitant,01173400,442842,
39,646,Balod,7253,Arjunda,442846,2,Kogani,कोगनी,Rural,Inhabitant,01173800,442846,
40,646,Balod,7253,Arjunda,442836,2,Kotgaon,कोटगाँव,Rural,Inhabitant,01172800,442836,
41,646,Balod,7253,Arjunda,442847,2,Kurdi,कुर्दी,Rural,Inhabitant,01173900,442847,
42,646,Balod,7253,Arjunda,442849,2,Lasa Tola,लासा टोला,Rural,Inhabitant,01174100,442849,
43,646,Balod,7253,Arjunda,442789,2,Mahud,माहुद,Rural,Inhabitant,01168000,442789,
44,646,Balod,7253,Arjunda,442791,2,Matewa,मटेवा,Rural,Inhabitant,01168200,442791,
45,646,Balod,7253,Arjunda,442824,2,Matia (Arjunda),मटिया (अर्जुन्दा),Rural,Inhabitant,01171500,442824,
46,646,Balod,7253,Arjunda,442778,2,Mohdipat,मोहदीपाट,Rural,Inhabitant,01166900,442778,
47,646,Balod,7253,Arjunda,442845,2,Mohlai (Chowrel),मोहलाइ,Rural,Inhabitant,01173700,442845,
48,646,Balod,7253,Arjunda,442837,2,Nawagaon,नवागांव,Rural,Inhabitant,01172900,442837,
49,646,Balod,7253,Arjunda,442848,2,Nawagaon (Dudera),नवागांव (डूडेरा),Rural,Inhabitant,01174000,442848,
